customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,cluster,cluster_name
IA63417,arizona,4001.519098,no,premium,high school or below,2011-02-02,retired,f,19782,suburban,divorced,108,13,66,0,1,personal auto,personal l3,offer3,web,773.470977,two-door car,medsize,0,Steady Eddies
BH35016,nevada,16706.11699,no,basic,bachelor,2011-02-09,employed,f,63933,suburban,divorced,70,35,98,0,2,personal auto,personal l3,offer1,call center,424.883448,two-door car,medsize,2,Riskmakers
PK52952,arizona,8544.411077,no,basic,doctor,2011-02-28,employed,m,28224,suburban,single,109,13,13,0,8,personal auto,personal l3,offer1,call center,523.2,suv,medsize,1,High Rollers
OD76309,washington,7805.31287,yes,basic,college,2011-01-27,retired,f,21073,suburban,divorced,106,25,54,1,3,personal auto,personal l3,offer1,agent,508.8,suv,small,0,Steady Eddies
IL28481,oregon,6112.756868,no,extended,bachelor,2011-02-19,employed,m,63243,urban,married,77,21,73,0,3,personal auto,personal l3,offer4,call center,364.240307,four-door car,large,2,Riskmakers
GY55092,nevada,4772.943848,yes,extended,high school or below,2011-02-18,retired,m,20993,suburban,divorced,133,35,90,0,1,personal auto,personal l3,offer2,agent,638.4,suv,medsize,0,Steady Eddies
UF33451,oregon,10979.09559,no,extended,bachelor,2011-02-14,employed,f,94827,urban,married,135,5,64,0,4,personal auto,personal l3,offer1,agent,354.729129,suv,medsize,0,Steady Eddies
CF15558,california,5004.263818,no,basic,master,2011-01-30,employed,f,39161,urban,married,63,18,83,1,4,personal auto,personal l3,offer2,call center,283.995953,two-door car,small,2,Riskmakers
JM62924,washington,13223.04379,no,extended,bachelor,2011-02-09,employed,m,37534,suburban,married,84,2,0,2,2,personal auto,personal l3,offer3,branch,403.2,four-door car,medsize,2,Riskmakers
EM66435,oregon,2623.31543,no,basic,bachelor,2011-02-06,employed,f,80210,rural,divorced,65,30,28,0,1,corporate auto,corporate l3,offer1,agent,20.543176,four-door car,medsize,2,Riskmakers
QX45933,california,17840.19555,no,basic,bachelor,2011-02-23,unemployed,m,0,suburban,married,62,32,59,0,2,personal auto,personal l1,offer1,agent,385.115437,four-door car,small,2,Riskmakers
JI71369,california,5106.111827,no,basic,college,2011-02-22,employed,f,30110,rural,married,64,2,4,0,5,personal auto,personal l1,offer1,web,140.165035,four-door car,medsize,2,Riskmakers
JU93290,arizona,17930.60451,no,basic,college,2011-01-16,medical leave,f,21708,suburban,divorced,68,28,77,0,2,personal auto,personal l2,offer1,web,326.4,four-door car,medsize,2,Riskmakers
GU66096,arizona,5457.342569,no,basic,high school or below,2011-02-02,employed,m,94731,suburban,married,67,23,65,0,4,personal auto,personal l2,offer2,agent,321.6,four-door car,medsize,2,Riskmakers
UC33108,california,6563.644143,no,extended,bachelor,2011-02-22,employed,m,32375,suburban,married,83,17,83,0,6,personal auto,personal l1,offer1,agent,398.4,four-door car,small,1,High Rollers
LW93867,oregon,4812.525221,no,basic,college,2011-01-03,medical leave,m,16531,rural,married,63,0,40,0,4,corporate auto,corporate l1,offer1,web,102.879769,four-door car,medsize,2,Riskmakers
OU78470,arizona,29328.04185,no,extended,master,2011-02-27,employed,f,32006,rural,single,94,28,7,0,2,corporate auto,corporate l3,offer2,call center,56.868289,four-door car,medsize,2,Riskmakers
XW90265,arizona,5773.520711,no,basic,bachelor,2011-02-15,employed,f,81676,suburban,married,72,21,86,0,8,personal auto,personal l2,offer1,agent,463.158502,two-door car,small,1,High Rollers
HS67749,california,6847.1189,no,extended,college,2011-01-11,employed,m,71038,rural,married,86,15,56,0,3,corporate auto,corporate l1,offer4,agent,205.444066,four-door car,medsize,2,Riskmakers
VZ51506,arizona,3595.31286,no,basic,high school or below,2011-01-21,unemployed,f,0,suburban,single,103,20,43,0,1,corporate auto,corporate l3,offer2,call center,741.6,sports car,medsize,0,Steady Eddies
UI64281,nevada,22855.61209,no,basic,master,2011-01-26,medical leave,f,20832,rural,married,65,8,32,0,2,personal auto,personal l3,offer1,call center,56.371967,two-door car,medsize,2,Riskmakers
AE98193,washington,7859.414569,no,basic,high school or below,2011-01-01,unemployed,m,0,suburban,single,113,19,10,0,7,personal auto,personal l1,offer1,branch,813.6,suv,medsize,1,High Rollers
AZ74055,oregon,4115.577437,no,premium,high school or below,2011-02-23,employed,m,52405,suburban,married,103,2,27,0,1,personal auto,personal l3,offer4,call center,494.4,four-door car,medsize,0,Steady Eddies
XS76911,arizona,5029.638777,no,extended,high school or below,2011-02-04,unemployed,f,0,suburban,married,133,3,89,0,1,personal auto,personal l3,offer1,agent,795.864079,sports car,small,0,Steady Eddies
AY40674,washington,4821.418454,no,extended,bachelor,2011-02-06,employed,f,26583,suburban,married,128,6,46,4,1,personal auto,personal l2,offer2,agent,614.4,suv,medsize,0,Steady Eddies
NA12740,oregon,5004.310469,no,basic,master,2011-02-10,disabled,m,25486,rural,married,65,15,53,0,3,special auto,special l3,offer1,web,72.438681,two-door car,medsize,2,Riskmakers
UA84837,arizona,8630.053943,no,premium,college,2011-01-02,employed,m,24065,suburban,divorced,111,30,1,0,5,corporate auto,corporate l2,offer1,branch,532.8,four-door car,medsize,0,Steady Eddies
DJ51510,arizona,9322.08512,no,premium,high school or below,2011-02-10,employed,f,70435,rural,married,116,0,50,0,4,personal auto,personal l3,offer3,agent,67.881546,four-door car,medsize,2,Riskmakers
VM58985,california,16727.56063,no,extended,college,2011-01-19,unemployed,m,0,suburban,single,76,33,36,2,2,personal auto,personal l3,offer3,branch,402.636829,two-door car,medsize,2,Riskmakers
OH60605,oregon,3652.532435,no,extended,high school or below,2011-02-23,employed,f,39679,suburban,married,92,2,85,0,1,personal auto,personal l3,offer2,branch,641.388616,two-door car,medsize,0,Steady Eddies
UO98052,nevada,6158.601171,no,extended,college,2011-01-07,unemployed,m,0,urban,single,89,13,45,0,5,personal auto,personal l2,offer1,web,342.481173,four-door car,medsize,1,High Rollers
NC53424,california,4376.083958,no,basic,bachelor,2011-01-14,unemployed,m,0,suburban,married,69,21,70,4,3,personal auto,personal l2,offer4,web,331.2,two-door car,medsize,2,Riskmakers
LQ13873,nevada,5569.456156,no,basic,high school or below,2011-02-15,employed,m,53565,suburban,married,71,27,34,1,6,personal auto,personal l3,offer1,agent,340.8,four-door car,small,1,High Rollers
LA97014,washington,2576.513006,no,basic,bachelor,2011-02-24,employed,m,37574,suburban,married,66,19,14,1,1,personal auto,personal l1,offer1,agent,412.101933,two-door car,medsize,2,Riskmakers
NB79936,washington,8346.983233,no,premium,bachelor,2011-02-02,employed,m,48259,rural,single,108,14,79,0,3,personal auto,personal l2,offer1,branch,73.700573,two-door car,medsize,2,Riskmakers
NT89061,arizona,6323.923864,no,extended,high school or below,2011-01-07,employed,f,78532,suburban,married,78,25,87,0,3,personal auto,personal l3,offer2,call center,374.4,four-door car,medsize,2,Riskmakers
AF10970,arizona,5973.14343,no,basic,bachelor,2011-02-28,employed,f,96163,suburban,married,73,23,90,0,3,corporate auto,corporate l3,offer1,call center,350.4,four-door car,medsize,2,Riskmakers
ZG48513,california,4706.676993,no,basic,bachelor,2011-02-17,unemployed,m,0,suburban,single,72,0,86,0,7,personal auto,personal l2,offer1,agent,345.6,four-door car,medsize,1,High Rollers
JQ59145,california,8093.410258,no,basic,high school or below,2011-02-12,unemployed,m,0,suburban,married,114,9,72,1,5,personal auto,personal l1,offer1,agent,722.024742,sports car,medsize,0,Steady Eddies
FE84989,washington,5035.744643,no,basic,college,2011-01-09,employed,m,72672,urban,married,63,7,39,0,5,personal auto,personal l2,offer2,call center,259.361117,four-door car,large,1,High Rollers
JT52858,oregon,9027.867218,no,premium,bachelor,2011-01-10,employed,f,99002,suburban,married,112,33,75,1,8,personal auto,personal l1,offer3,branch,537.6,four-door car,medsize,1,High Rollers
MC62068,california,7288.884849,no,extended,high school or below,2011-01-08,employed,m,79494,urban,married,91,19,30,0,3,personal auto,personal l2,offer4,agent,396.295614,four-door car,large,2,Riskmakers
EU27538,oregon,18042.47942,no,extended,master,2011-01-25,employed,m,35704,rural,married,225,21,35,0,8,personal auto,personal l3,offer1,branch,358.281562,luxury car,medsize,1,High Rollers
RH42306,arizona,4992.063043,no,basic,bachelor,2011-01-27,unemployed,f,0,suburban,single,71,6,5,0,3,corporate auto,corporate l2,offer3,web,653.388564,four-door car,small,0,Steady Eddies
US23612,oregon,9102.267849,no,premium,high school or below,2011-01-12,disabled,f,26049,rural,married,118,17,6,0,6,personal auto,personal l2,offer1,call center,121.032372,two-door car,large,1,High Rollers
WV76014,arizona,2540.407726,no,basic,doctor,2011-01-16,employed,m,70125,rural,single,64,21,77,0,1,special auto,special l2,offer2,branch,92.813396,four-door car,medsize,2,Riskmakers
RK96223,california,12941.89193,no,basic,college,2011-01-22,employed,m,52369,suburban,married,110,34,49,1,2,personal auto,personal l3,offer1,agent,528.0,suv,medsize,0,Steady Eddies
MF82000,washington,2365.348601,no,basic,bachelor,2011-01-13,unemployed,f,0,rural,married,66,25,51,2,1,special auto,special l2,offer2,branch,159.636956,four-door car,medsize,2,Riskmakers
FM46980,arizona,5720.765064,no,basic,college,2011-02-11,employed,m,41770,suburban,married,72,0,60,0,9,personal auto,personal l1,offer2,branch,476.156957,four-door car,small,1,High Rollers
SY56792,oregon,7035.534088,no,premium,high school or below,2011-01-04,unemployed,m,0,suburban,divorced,101,16,88,0,8,corporate auto,corporate l3,offer3,web,727.2,four-door car,medsize,1,High Rollers
RF61565,california,2636.97773,no,basic,college,2011-01-29,employed,m,31911,suburban,married,67,33,27,0,1,personal auto,personal l3,offer2,agent,321.6,four-door car,medsize,2,Riskmakers
IM94808,nevada,5395.831967,no,basic,bachelor,2011-02-28,employed,m,70051,rural,married,68,15,69,0,8,corporate auto,corporate l3,offer4,web,42.078345,four-door car,medsize,1,High Rollers
VI14730,oregon,8382.630118,yes,basic,high school or below,2011-02-04,retired,m,19683,suburban,married,117,17,41,1,9,personal auto,personal l2,offer1,web,561.6,sports car,medsize,1,High Rollers
YR34119,washington,31161.74523,no,basic,college,2011-02-02,employed,f,30916,rural,married,112,7,65,0,2,personal auto,personal l1,offer1,agent,200.11606,suv,small,2,Riskmakers
RR77985,oregon,2887.742258,no,extended,bachelor,2011-01-03,unemployed,f,0,suburban,single,80,24,95,0,1,personal auto,personal l1,offer1,call center,676.944023,four-door car,medsize,0,Steady Eddies
VC22097,washington,8714.922135,yes,basic,college,2011-02-21,unemployed,f,0,suburban,divorced,118,14,64,0,4,corporate auto,corporate l3,offer1,agent,566.4,suv,medsize,0,Steady Eddies
WV17090,california,25585.72783,no,basic,bachelor,2011-02-01,unemployed,m,0,suburban,married,116,0,45,0,2,corporate auto,corporate l1,offer2,call center,830.623064,suv,medsize,0,Steady Eddies
TM23514,oregon,10272.6082,no,extended,college,2011-01-01,employed,m,60145,urban,single,132,8,28,0,3,personal auto,personal l3,offer3,web,580.473259,suv,medsize,0,Steady Eddies
MQ68407,oregon,4376.363592,yes,premium,bachelor,2011-02-28,employed,f,63774,rural,divorced,111,18,63,0,1,personal auto,personal l3,offer2,agent,60.036683,four-door car,medsize,2,Riskmakers
GJ59592,california,5318.89664,yes,basic,bachelor,2011-01-12,employed,f,25134,suburban,married,67,3,0,0,6,corporate auto,corporate l2,offer2,call center,321.6,four-door car,small,1,High Rollers
FY56083,oregon,4719.762191,no,basic,bachelor,2011-02-13,employed,m,37057,rural,married,61,5,48,1,6,personal auto,personal l2,offer1,agent,47.53101,four-door car,small,1,High Rollers
UA94723,oregon,4428.031583,yes,basic,high school or below,2011-01-29,employed,f,58577,urban,married,110,6,62,0,1,personal auto,personal l3,offer1,agent,303.872752,suv,medsize,2,Riskmakers
FW91032,california,5879.176092,no,basic,high school or below,2011-02-13,employed,m,85857,rural,married,73,3,19,0,6,corporate auto,corporate l2,offer4,agent,100.620067,four-door car,medsize,1,High Rollers
DE34457,oregon,9416.908485,no,basic,doctor,2011-01-22,employed,f,70602,urban,married,116,8,47,0,3,personal auto,personal l3,offer3,call center,481.339891,suv,small,0,Steady Eddies
HD32044,oregon,8288.155579,no,premium,master,2011-01-25,employed,f,33816,suburban,divorced,106,10,97,2,3,corporate auto,corporate l3,offer1,branch,508.8,four-door car,medsize,0,Steady Eddies
HH30454,oregon,32654.8383,no,premium,bachelor,2011-02-23,unemployed,m,0,suburban,single,153,7,75,0,2,personal auto,personal l3,offer3,branch,1101.6,suv,medsize,3,Fresh Starts
AH84063,oregon,4719.450052,no,extended,college,2011-02-18,employed,f,89642,rural,married,121,11,20,4,1,corporate auto,corporate l3,offer3,call center,86.320022,suv,medsize,2,Riskmakers
QA17596,california,3903.474784,no,extended,bachelor,2011-01-03,employed,f,60068,suburban,married,98,17,75,0,1,personal auto,personal l3,offer2,agent,470.4,two-door car,small,0,Steady Eddies
XI41052,california,5457.259678,no,extended,bachelor,2011-01-09,employed,f,50044,suburban,single,139,16,14,0,1,personal auto,personal l2,offer3,call center,667.2,suv,medsize,0,Steady Eddies
DI30528,california,2725.356404,yes,basic,master,2011-01-03,employed,f,36650,rural,married,69,2,70,1,1,personal auto,personal l3,offer2,web,56.60333,four-door car,large,2,Riskmakers
SC66359,arizona,4433.97368,no,basic,college,2011-02-21,employed,f,50653,rural,married,110,29,42,0,1,corporate auto,corporate l3,offer4,agent,262.865172,suv,small,2,Riskmakers
EN61670,arizona,5332.462694,yes,basic,doctor,2011-02-22,employed,f,68931,urban,married,66,32,30,0,7,personal auto,personal l1,offer2,branch,309.577946,four-door car,medsize,1,High Rollers
DQ10761,oregon,2315.094985,no,basic,bachelor,2011-01-09,unemployed,m,0,suburban,single,73,14,39,1,1,corporate auto,corporate l3,offer1,branch,350.4,four-door car,medsize,2,Riskmakers
BQ51587,california,5411.953687,no,basic,college,2011-02-07,unemployed,f,0,suburban,single,73,1,22,0,5,personal auto,personal l2,offer2,call center,365.364581,four-door car,medsize,1,High Rollers
JE21522,california,9587.33234,no,extended,bachelor,2011-02-26,employed,m,39266,suburban,married,80,33,31,0,2,personal auto,personal l2,offer4,branch,384.0,four-door car,medsize,2,Riskmakers
WS47147,california,22103.5072,yes,basic,college,2011-01-30,unemployed,m,0,suburban,married,102,35,48,0,2,personal auto,personal l3,offer1,branch,489.6,suv,medsize,0,Steady Eddies
ZA64638,nevada,9764.945308,no,extended,high school or below,2011-02-28,unemployed,f,0,suburban,single,98,24,11,1,2,personal auto,personal l2,offer2,web,705.6,four-door car,small,0,Steady Eddies
EW38459,nevada,2567.151468,no,basic,bachelor,2011-02-20,employed,f,40864,rural,married,65,2,75,0,1,corporate auto,corporate l1,offer2,web,9.51528,four-door car,medsize,2,Riskmakers
QW87316,oregon,2650.622781,no,basic,college,2011-01-20,employed,f,39035,urban,divorced,68,15,65,0,1,personal auto,personal l2,offer2,agent,244.564334,four-door car,medsize,2,Riskmakers
IC43478,california,11264.36334,no,extended,bachelor,2011-01-22,employed,m,34923,suburban,single,98,23,82,0,2,personal auto,personal l1,offer1,call center,639.105556,two-door car,medsize,0,Steady Eddies
TE34064,california,2168.523464,no,basic,high school or below,2011-01-06,unemployed,m,0,suburban,single,63,1,56,0,1,personal auto,personal l3,offer2,agent,453.6,four-door car,medsize,2,Riskmakers
WU60905,california,8610.667489,no,basic,high school or below,2011-02-06,unemployed,f,0,suburban,married,111,27,36,0,9,corporate auto,corporate l1,offer3,web,532.8,suv,medsize,1,High Rollers
YM18992,california,2834.646235,no,basic,college,2011-02-02,employed,f,24506,suburban,divorced,71,7,47,0,1,personal auto,personal l1,offer1,agent,511.2,two-door car,medsize,0,Steady Eddies
PD55753,oregon,8930.139728,no,extended,high school or below,2011-02-23,unemployed,m,0,suburban,married,82,25,63,0,2,personal auto,personal l1,offer4,call center,554.522969,four-door car,medsize,0,Steady Eddies
KU56006,arizona,5536.386959,no,basic,college,2011-01-07,employed,f,52220,suburban,married,70,17,42,1,5,personal auto,personal l2,offer1,call center,336.0,four-door car,small,1,High Rollers
MJ69973,arizona,2840.85429,no,basic,high school or below,2011-02-27,unemployed,m,0,suburban,married,74,17,73,0,1,personal auto,personal l3,offer1,call center,402.449823,two-door car,medsize,2,Riskmakers
TW43626,california,8082.880956,no,basic,college,2011-01-21,employed,m,53554,suburban,married,67,6,5,0,2,personal auto,personal l2,offer1,agent,327.020539,four-door car,large,2,Riskmakers
XX84133,california,5254.734278,no,basic,bachelor,2011-02-04,employed,m,34476,rural,married,67,23,49,1,3,corporate auto,corporate l2,offer4,call center,5.3953,four-door car,medsize,2,Riskmakers
ZW84453,arizona,5116.237577,no,basic,bachelor,2011-01-08,unemployed,f,0,rural,married,70,1,11,0,5,personal auto,personal l2,offer1,web,131.401291,four-door car,medsize,1,High Rollers
HO29524,california,3034.646997,no,extended,college,2011-02-04,employed,m,68205,rural,married,76,35,14,0,1,personal auto,personal l1,offer4,branch,99.382943,two-door car,medsize,2,Riskmakers
VE89726,california,8024.89992,no,basic,high school or below,2011-01-15,unemployed,f,0,suburban,single,119,6,48,1,8,personal auto,personal l1,offer3,branch,856.8,suv,medsize,1,High Rollers
GE87503,california,18211.14319,no,premium,high school or below,2011-02-07,employed,m,53690,suburban,married,154,20,97,0,2,personal auto,personal l3,offer4,call center,739.2,suv,small,0,Steady Eddies
PX90263,oregon,5121.563312,no,basic,high school or below,2011-02-19,unemployed,m,0,suburban,single,72,2,22,0,5,personal auto,personal l3,offer1,branch,518.4,four-door car,medsize,1,High Rollers
NI17718,california,2150.178588,no,basic,high school or below,2011-02-09,unemployed,f,0,suburban,single,61,28,31,0,1,personal auto,personal l3,offer2,web,292.8,four-door car,medsize,2,Riskmakers
FY32213,california,5595.389905,yes,basic,high school or below,2011-02-05,employed,f,74454,suburban,single,71,25,29,0,3,personal auto,personal l3,offer2,call center,340.8,four-door car,medsize,2,Riskmakers
RZ13254,nevada,7562.824036,no,basic,bachelor,2011-01-15,unemployed,f,0,suburban,single,73,23,91,0,2,personal auto,personal l1,offer2,branch,350.4,four-door car,large,2,Riskmakers
GN45013,oregon,5385.853211,no,basic,high school or below,2011-02-06,medical leave,m,29664,suburban,married,71,1,69,0,3,personal auto,personal l1,offer1,agent,340.8,four-door car,medsize,2,Riskmakers
UB16654,washington,4718.558501,no,basic,master,2011-02-27,disabled,m,15680,urban,divorced,64,20,29,0,8,personal auto,personal l3,offer4,web,260.879903,four-door car,medsize,1,High Rollers
KU84464,nevada,9422.567923,no,extended,bachelor,2011-01-17,employed,f,47272,rural,married,79,17,17,3,2,personal auto,personal l3,offer1,call center,64.546877,four-door car,medsize,2,Riskmakers
YH43527,oregon,3605.860265,no,extended,college,2011-01-07,employed,f,21585,suburban,married,92,35,61,0,1,corporate auto,corporate l2,offer4,agent,441.6,four-door car,medsize,0,Steady Eddies
RO30676,california,7762.590564,no,premium,college,2011-01-03,disabled,f,23827,rural,married,106,18,77,2,3,personal auto,personal l3,offer1,agent,37.910623,four-door car,medsize,2,Riskmakers
QL59704,arizona,23444.90045,no,basic,college,2011-01-26,employed,f,69906,urban,married,74,34,32,2,2,corporate auto,corporate l3,offer2,branch,202.860399,four-door car,medsize,2,Riskmakers
QH19450,california,2558.178159,no,basic,high school or below,2011-01-07,unemployed,f,0,suburban,single,72,7,77,0,1,corporate auto,corporate l3,offer1,call center,345.6,four-door car,small,2,Riskmakers
HR85211,washington,5123.170887,no,basic,master,2011-01-14,employed,f,89879,rural,married,63,17,20,0,3,personal auto,personal l3,offer2,web,94.030308,two-door car,medsize,2,Riskmakers
UV54502,washington,2537.744494,no,basic,high school or below,2011-02-20,unemployed,f,0,suburban,married,69,9,89,0,1,personal auto,personal l3,offer4,branch,331.2,four-door car,large,2,Riskmakers
WB38524,california,2969.593296,no,basic,high school or below,2011-01-01,employed,m,46131,suburban,married,74,27,28,0,1,personal auto,personal l3,offer2,branch,355.2,two-door car,small,2,Riskmakers
CE56187,oregon,4363.124641,no,basic,master,2011-01-10,employed,f,54514,urban,divorced,109,5,36,3,1,personal auto,personal l2,offer2,branch,286.234931,suv,medsize,2,Riskmakers
JL19416,california,5884.308607,no,premium,high school or below,2011-01-27,unemployed,f,0,suburban,single,161,29,1,0,1,personal auto,personal l3,offer1,agent,1159.2,suv,medsize,3,Fresh Starts
JZ61422,nevada,5272.191556,no,basic,college,2011-02-07,employed,f,96668,suburban,single,66,2,95,0,3,personal auto,personal l2,offer1,agent,316.8,four-door car,medsize,2,Riskmakers
LA13377,california,5509.895664,no,basic,doctor,2011-01-25,employed,m,78879,suburban,married,69,9,67,1,4,personal auto,personal l3,offer4,call center,466.570791,four-door car,small,2,Riskmakers
NC99948,nevada,16313.68349,no,basic,college,2011-02-11,unemployed,m,0,suburban,single,69,21,86,0,2,personal auto,personal l1,offer3,call center,331.2,four-door car,medsize,2,Riskmakers
QD34785,arizona,5678.050167,yes,extended,bachelor,2011-01-19,unemployed,f,0,suburban,married,76,8,44,0,3,personal auto,personal l1,offer2,agent,364.8,four-door car,small,2,Riskmakers
RO26085,california,12101.20884,no,basic,bachelor,2011-02-04,unemployed,f,0,suburban,single,112,28,30,0,2,personal auto,personal l2,offer2,agent,1252.406235,sports car,large,3,Fresh Starts
ES57969,oregon,2453.570794,yes,basic,bachelor,2011-02-09,medical leave,m,29735,suburban,single,69,3,92,0,1,personal auto,personal l2,offer1,agent,331.2,four-door car,medsize,2,Riskmakers
JK55587,california,5075.66267,no,basic,high school or below,2011-02-20,medical leave,m,23082,suburban,married,65,18,90,0,7,special auto,special l3,offer1,branch,312.0,four-door car,large,1,High Rollers
RN97635,arizona,3214.979402,no,extended,bachelor,2011-02-04,employed,m,53984,suburban,divorced,80,15,62,0,1,corporate auto,corporate l2,offer1,call center,421.484456,four-door car,small,2,Riskmakers
BI76326,california,12275.34309,no,premium,college,2011-01-08,employed,f,52135,urban,single,156,6,86,0,9,personal auto,personal l3,offer2,call center,430.505942,suv,small,1,High Rollers
JA34909,california,2722.210707,yes,basic,college,2011-02-02,medical leave,f,17576,suburban,married,71,29,70,0,1,corporate auto,corporate l3,offer2,call center,398.502948,four-door car,medsize,2,Riskmakers
OJ90342,oregon,2457.440923,no,basic,bachelor,2011-02-07,employed,f,29486,rural,married,62,19,73,0,1,personal auto,personal l3,offer2,web,7.646763,four-door car,medsize,2,Riskmakers
CM88932,oregon,3554.845264,yes,extended,master,2011-01-10,employed,f,58557,rural,married,88,4,83,0,1,corporate auto,corporate l2,offer1,branch,55.510526,four-door car,large,2,Riskmakers
JJ97525,california,4929.549699,yes,basic,bachelor,2011-01-26,employed,m,25632,suburban,married,63,27,52,0,7,personal auto,personal l1,offer2,call center,351.270869,two-door car,medsize,1,High Rollers
XV21647,california,8036.45034,no,basic,high school or below,2011-02-01,unemployed,f,0,suburban,single,112,7,42,0,9,personal auto,personal l1,offer1,branch,806.4,sports car,medsize,1,High Rollers
MC83487,arizona,4276.915328,no,basic,bachelor,2011-01-28,disabled,m,18768,suburban,single,68,19,53,3,3,corporate auto,corporate l3,offer1,agent,647.454583,four-door car,medsize,0,Steady Eddies
BL90769,california,33473.34946,yes,basic,bachelor,2011-01-11,employed,f,33190,suburban,divorced,106,18,95,0,2,personal auto,personal l3,offer1,web,508.8,suv,medsize,0,Steady Eddies
CR57148,oregon,5960.581363,no,basic,master,2011-02-03,employed,f,47945,rural,married,74,32,39,0,3,personal auto,personal l3,offer2,branch,128.43823,two-door car,medsize,2,Riskmakers
CP85232,arizona,44795.46942,no,extended,college,2011-02-04,employed,m,58778,rural,married,126,6,62,0,2,special auto,special l3,offer1,agent,302.033971,suv,small,2,Riskmakers
YL74732,california,3832.118106,no,basic,high school or below,2011-02-14,disabled,f,15192,suburban,married,100,1,7,0,1,personal auto,personal l2,offer4,web,480.0,suv,medsize,0,Steady Eddies
FG16766,california,6837.932624,no,premium,bachelor,2011-01-24,employed,f,51859,suburban,married,171,0,21,0,1,personal auto,personal l2,offer4,branch,1003.160633,suv,medsize,3,Fresh Starts
NV55438,nevada,5285.26816,no,basic,high school or below,2011-02-23,retired,f,23422,suburban,single,72,25,76,0,3,personal auto,personal l3,offer2,agent,518.4,two-door car,medsize,0,Steady Eddies
RM10880,california,3096.511217,yes,extended,college,2011-02-12,employed,f,21604,suburban,divorced,79,14,28,0,1,corporate auto,corporate l3,offer1,branch,379.2,four-door car,medsize,2,Riskmakers
GL56175,arizona,3589.710715,no,extended,college,2011-01-05,employed,m,79298,urban,married,90,22,2,0,1,personal auto,personal l1,offer2,call center,244.362072,four-door car,medsize,2,Riskmakers
UK52289,arizona,2582.408525,yes,basic,bachelor,2011-02-14,employed,f,76731,urban,married,64,2,68,0,1,special auto,special l3,offer2,agent,201.455005,four-door car,medsize,2,Riskmakers
LL45497,washington,2487.729726,no,basic,college,2011-02-02,employed,f,67282,suburban,married,62,29,27,0,1,personal auto,personal l2,offer2,web,297.6,two-door car,medsize,2,Riskmakers
BC62782,arizona,13575.67599,no,basic,college,2011-01-23,employed,f,48534,suburban,married,115,29,79,1,2,personal auto,personal l3,offer4,call center,552.0,suv,small,0,Steady Eddies
YM57893,washington,4685.504251,no,premium,doctor,2011-01-05,employed,m,77678,suburban,married,116,32,81,0,1,personal auto,personal l2,offer1,call center,741.418485,two-door car,small,0,Steady Eddies
JP30654,oregon,28685.82785,no,basic,college,2011-02-24,employed,f,48412,suburban,single,104,15,23,0,2,personal auto,personal l3,offer3,agent,707.430832,suv,medsize,0,Steady Eddies
RA66180,washington,2764.032126,no,basic,high school or below,2011-01-10,employed,f,33837,urban,married,72,29,54,4,1,corporate auto,corporate l2,offer1,branch,305.575785,two-door car,medsize,2,Riskmakers
EN60878,oregon,6183.111464,no,extended,bachelor,2011-02-13,disabled,m,23712,urban,single,85,2,20,0,3,personal auto,personal l2,offer1,branch,376.126419,four-door car,medsize,2,Riskmakers
JF36291,california,3873.647046,yes,basic,college,2011-01-20,retired,m,28142,suburban,married,105,18,50,0,1,personal auto,personal l3,offer2,agent,701.708239,sports car,medsize,0,Steady Eddies
BK59444,california,18929.3306,no,basic,master,2011-02-05,employed,f,72196,rural,single,68,8,61,0,2,personal auto,personal l2,offer2,branch,152.184244,four-door car,medsize,2,Riskmakers
MK70700,california,5553.295758,no,basic,master,2011-01-07,employed,m,68197,urban,married,69,1,81,0,3,personal auto,personal l1,offer2,branch,176.819414,four-door car,medsize,2,Riskmakers
IW71076,california,5011.259184,no,basic,bachelor,2011-02-27,employed,m,75248,rural,married,63,13,71,0,5,corporate auto,corporate l3,offer2,agent,104.454624,four-door car,large,2,Riskmakers
AP98768,california,10442.44633,no,extended,college,2011-01-08,unemployed,f,0,suburban,single,98,9,50,0,2,personal auto,personal l1,offer1,agent,941.718054,four-door car,small,0,Steady Eddies
OM24164,nevada,2199.61781,no,basic,bachelor,2011-01-06,unemployed,m,0,suburban,single,65,5,19,1,1,personal auto,personal l2,offer1,agent,468.0,two-door car,medsize,2,Riskmakers
QP84605,washington,8709.845263,no,premium,bachelor,2011-02-03,employed,f,41546,rural,divorced,111,4,47,0,3,corporate auto,corporate l1,offer1,call center,121.306839,four-door car,medsize,2,Riskmakers
VC87846,oregon,7484.310483,no,extended,high school or below,2011-01-20,employed,m,46998,suburban,divorced,96,13,98,0,6,corporate auto,corporate l3,offer3,agent,460.8,four-door car,medsize,1,High Rollers
ZM92052,oregon,2613.023132,no,basic,bachelor,2011-02-23,employed,m,57099,rural,single,67,20,37,0,1,personal auto,personal l2,offer3,agent,67.859881,two-door car,small,2,Riskmakers
ON73702,arizona,9080.639651,no,basic,bachelor,2011-01-26,employed,f,33897,urban,married,114,15,67,0,8,corporate auto,corporate l3,offer1,agent,539.843003,suv,small,1,High Rollers
